No.,Time,Delta,Source,Destination,Protocol,Length,Data Length,Source Port,Destination Port,Data,Info
480657,18941.2,0.1,::201:1:1:1,::21f:1f:1f:1f,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480659,18941.28,0.08,::201:1:1:1,::21f:1f:1f:1f,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480661,18941.56,0.28,::203:3:3:3,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480663,18941.7,0.14,::203:3:3:3,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480665,18941.72,0.02,::203:3:3:3,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480667,18941.76,0.04,::20b:b:b:b,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480671,18941.89,0.13,::20b:b:b:b,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480672,18941.89,0,::203:3:3:3,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480675,18941.94,0.05,::20b:b:b:b,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480677,18942.03,0.09,::203:3:3:3,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480681,18942.05,0.02,::20b:b:b:b,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480683,18942.06,0.01,::20b:b:b:b,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480685,18942.07,0.01,::20b:b:b:b,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480687,18942.11,0.04,::20b:b:b:b,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480693,18942.6,0.49,::201:1:1:1,::203:3:3:3,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480695,18942.61,0.01,::201:1:1:1,::203:3:3:3,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480697,18942.72,0.11,::201:1:1:1,::203:3:3:3,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480699,18942.74,0.02,::201:1:1:1,::203:3:3:3,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480703,18942.81,0.07,::201:1:1:1,::203:3:3:3,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480712,18942.98,0.17,::201:1:1:1,::20b:b:b:b,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480720,18943.1,0.12,::201:1:1:1,::20b:b:b:b,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480724,18943.18,0.08,::210:10:10:10,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480729,18943.25,0.07,::201:1:1:1,::20b:b:b:b,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480733,18943.32,0.07,::210:10:10:10,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480736,18943.33,0.01,::201:1:1:1,::20b:b:b:b,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480740,18943.42,0.09,::210:10:10:10,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480742,18943.48,0.06,::201:1:1:1,::20b:b:b:b,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480744,18943.49,0.01,::217:17:17:17,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480746,18943.52,0.03,::217:17:17:17,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480748,18943.59,0.07,::210:10:10:10,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480750,18943.61,0.02,::201:1:1:1,::20b:b:b:b,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480752,18943.64,0.03,::217:17:17:17,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480756,18943.73,0.09,::210:10:10:10,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480758,18943.77,0.04,::201:1:1:1,::20b:b:b:b,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480760,18943.8,0.03,::217:17:17:17,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480762,18943.93,0.13,::217:17:17:17,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480764,18944.05,0.12,::217:17:17:17,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480766,18944.13,0.08,::201:1:1:1,::210:10:10:10,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480768,18944.14,0.01,::201:1:1:1,::210:10:10:10,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480770,18944.21,0.07,::217:17:17:17,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480772,18944.25,0.04,::201:1:1:1,::210:10:10:10,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480774,18944.4,0.15,::201:1:1:1,::210:10:10:10,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480776,18944.41,0.01,::201:1:1:1,::210:10:10:10,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480778,18944.54,0.13,::201:1:1:1,::217:17:17:17,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480780,18944.56,0.02,::201:1:1:1,::217:17:17:17,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480782,18944.67,0.11,::201:1:1:1,::217:17:17:17,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480784,18944.77,0.1,::201:1:1:1,::217:17:17:17,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480786,18944.85,0.08,::201:1:1:1,::217:17:17:17,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480789,18944.93,0.08,::201:1:1:1,::217:17:17:17,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480791,18945.01,0.08,::201:1:1:1,::217:17:17:17,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480805,18947.06,2.05,::207:7:7:7,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480807,18947.1,0.04,::23d:3d:3d:3d,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480810,18947.16,0.06,::207:7:7:7,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480815,18947.23,0.07,::23d:3d:3d:3d,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480819,18947.33,0.1,::207:7:7:7,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480820,18947.33,0,::23d:3d:3d:3d,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480825,18947.47,0.14,::207:7:7:7,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480827,18947.5,0.03,::23d:3d:3d:3d,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480829,18947.62,0.12,::23d:3d:3d:3d,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480831,18947.78,0.16,::23d:3d:3d:3d,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480833,18948.04,0.26,::201:1:1:1,::207:7:7:7,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480835,18948.05,0.01,::201:1:1:1,::207:7:7:7,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480837,18948.16,0.11,::201:1:1:1,::207:7:7:7,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480839,18948.31,0.15,::201:1:1:1,::207:7:7:7,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480841,18948.62,0.31,::201:1:1:1,::23d:3d:3d:3d,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480843,18948.64,0.02,::201:1:1:1,::23d:3d:3d:3d,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480845,18948.75,0.11,::201:1:1:1,::23d:3d:3d:3d,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480847,18948.78,0.03,::201:1:1:1,::23d:3d:3d:3d,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480849,18948.82,0.04,::236:36:36:36,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480851,18948.86,0.04,::236:36:36:36,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480853,18948.91,0.05,::236:36:36:36,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
