No.,Time,Delta,Source,Destination,Protocol,Length,Data Length,Source Port,Destination Port,Data,Info
1104949,38137.94,0.01,::201:1:1:1,::225:25:25:25,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104951,38137.98,0.04,::201:1:1:1,::225:25:25:25,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104953,38138.01,0.03,::201:1:1:1,::22c:2c:2c:2c,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104956,38138.05,0.04,::201:1:1:1,::22c:2c:2c:2c,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104958,38138.1,0.05,::201:1:1:1,::22c:2c:2c:2c,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104959,38138.1,0,::201:1:1:1,::22c:2c:2c:2c,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104973,38138.27,0.17,::213:13:13:13,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
1104974,38138.27,0,::201:1:1:1,::22c:2c:2c:2c,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104991,38138.44,0.17,::213:13:13:13,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
1104993,38138.44,0,::201:1:1:1,::22c:2c:2c:2c,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104995,38138.45,0.01,::201:1:1:1,::225:25:25:25,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104997,38138.48,0.03,::213:13:13:13,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
1104999,38138.5,0.02,::201:1:1:1,::225:25:25:25,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1105011,38138.62,0.12,::201:1:1:1,::225:25:25:25,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1105013,38138.66,0.04,::201:1:1:1,::225:25:25:25,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1105022,38139.11,0.45,::201:1:1:1,::213:13:13:13,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1105024,38139.25,0.14,::201:1:1:1,::213:13:13:13,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1105032,38139.81,0.56,::21f:1f:1f:1f,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
1105034,38139.94,0.13,::21f:1f:1f:1f,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
1105039,38140.1,0.16,::21f:1f:1f:1f,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
1105041,38140.17,0.07,::21f:1f:1f:1f,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
1105045,38140.24,0.07,::21f:1f:1f:1f,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
1105047,38140.35,0.11,::21f:1f:1f:1f,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
1105049,38140.64,0.29,::201:1:1:1,::21f:1f:1f:1f,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1105051,38140.66,0.02,::201:1:1:1,::21f:1f:1f:1f,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
